Player choice: 1, Bot choice: 0, Result: win
Player choice: 1, Bot choice: 0, Result: win
Player choice: 2, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: loss
Player choice: 2, Bot choice: 1, Result: win
Player choice: 1, Bot choice: 2, Result: loss
Player choice: 2, Bot choice: 1, Result: win
Player choice: 2, Bot choice: 1, Result: win
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 1, Bot choice: 2, Result: loss
Player choice: 1, Bot choice: 0, Result: win
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 0, Result: win
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 0, Result: win
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 1, Bot choice: 0, Result: win
Player choice: 1, Bot choice: 0, Result: win
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 2, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: loss
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 1, Bot choice: 0, Result: win
Player choice: 2, Bot choice: 1, Result: win
Player choice: 1, Bot choice: 2, Result: loss
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 1, Bot choice: 0, Result: win
Player choice: 2, Bot choice: 1, Result: win
Player choice: 2, Bot choice: 0, Result: loss
Player choice: 2, Bot choice: 1, Result: win
Player choice: 2, Bot choice: 1, Result: win
Player choice: 2, Bot choice: 0, Result: loss
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 2, Bot choice: 1, Result: win
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 2, Bot choice: 1, Result: win
Player choice: 2, Bot choice: 1, Result: win
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 2, Bot choice: 1, Result: win
Player choice: 2, Bot choice: 1, Result: win
Player choice: 2, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 2, Bot choice: 0, Result: win
Player choice: 2, Bot choice: 1, Result: loss
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 2, Bot choice: 0, Result: win
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 2, Bot choice: 1, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 2, Result: win
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 2, Bot choice: 1, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 2, Result: win
Player choice: 2, Bot choice: 1, Result: loss
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 2, Bot choice: 1, Result: loss
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 2, Result: win
Player choice: 2, Bot choice: 1, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 2, Bot choice: 1, Result: loss
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 2, Bot choice: 0, Result: win
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 2, Bot choice: 1, Result: loss
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 2, Result: win
Player choice: 2, Bot choice: 0, Result: win
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 2, Bot choice: 1, Result: loss
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 2, Bot choice: 2, Result: tie
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 2, Bot choice: 0, Result: win
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 1, Result: tie
Player choice: 1, Bot choice: 2, Result: win
Player choice: 2, Bot choice: 1, Result: loss
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 1, Bot choice: 2, Result: win
Player choice: 1, Bot choice: 0, Result: loss
Player choice: 2, Bot choice: 2, Result: tie
